Gen,Time,ProgSizeMean,ProgSizeStd,FitMean,FitStd
0,1.709641388,20.048828125,19.178779170553945,564.9330991605457,65.04478902301362
1,1.328311879,19.70703125,18.862679911035904,515.1006160656945,84.3481526149688
2,1.248546059,16.28515625,15.376052980337784,467.6934867330985,87.46032909239294
3,1.216748403,15.021484375,12.635019657430142,469.89726665454606,85.67343054662
4,1.285536035,19.130859375,13.305437515972436,440.86937055324387,92.36986607989908
5,1.271586768,19.697265625,12.825703982353634,432.547318712192,74.20720071331824
6,1.521347034,24.951171875,13.545966730235502,413.87878082513964,77.25522656384966
7,1.454583394,28.23828125,15.764079941368271,424.26629662478604,69.99580620224779
8,1.520809042,32.970703125,17.47734523253109,399.04430343186976,62.232881797795535
9,1.546787165,32.748046875,16.672188609010465,392.5614863618561,50.324754904769755
